ID,Sex,Ageclass,BodyMass_g,Tarsus_length,Malaria,year sampled,year,wet/dry season
5609,Female,Adult,15.6,24.3,0,2011-07-01T00:00:00Z,2011,SE monsoon
5550,Male,Juvenile,16.9,27.1,1,2011-07-02T00:00:00Z,2011,SE monsoon
5591,Male,Juvenile,16.4,26,1,2011-07-02T00:00:00Z,2011,SE monsoon
5170,Male,Adult,16.8,26.3,1,2011-07-03T00:00:00Z,2011,SE monsoon
5450,Female,Adult,15.2,24.7,1,2011-07-03T00:00:00Z,2011,SE monsoon
3518,Female,Adult,14.8,25.1,0,2011-07-05T00:00:00Z,2011,SE monsoon
5009,Female,Adult,13.7,25.1,0,2011-07-05T00:00:00Z,2011,SE monsoon
5242,Female,Adult,13.7,24.5,1,2011-07-05T00:00:00Z,2011,SE monsoon
5128,Female,Adult,14.8,24.5,0,2011-07-06T00:00:00Z,2011,SE monsoon
5254,Male,Adult,17.1,25.8,0,2011-07-06T00:00:00Z,2011,SE monsoon
5240,Male,Adult,17.5,26.2,1,2011-07-07T00:00:00Z,2011,SE monsoon
5610,Female,Juvenile,15,24.6,0,2011-07-07T00:00:00Z,2011,SE monsoon
5540,Male,Juvenile,16.8,25.9,1,2011-07-09T00:00:00Z,2011,SE monsoon
4854,Male,Adult,16.6,26.2,1,2011-07-17T00:00:00Z,2011,SE monsoon
4958,Female,Adult,16.4,25.5,0,2011-07-20T00:00:00Z,2011,SE monsoon
5195,Female,Adult,14.3,24.3,0,2011-07-26T00:00:00Z,2011,SE monsoon
4957,Male,Adult,15.4,24.9,0,2011-07-29T00:00:00Z,2011,SE monsoon
5226,Male,Adult,14.3,24,1,2011-07-29T00:00:00Z,2011,SE monsoon
5291,Male,Adult,15.9,25.3,0,2011-07-29T00:00:00Z,2011,SE monsoon
5338,Male,Adult,15.5,26.1,1,2011-08-11T00:00:00Z,2011,SE monsoon
4965,Female,Adult,14.3,24.9,1,2011-08-19T00:00:00Z,2011,SE monsoon
5323,Female,Adult,14.2,24.2,1,2011-08-19T00:00:00Z,2011,SE monsoon
5540,Male,Juvenile,16.8,25.7,1,2011-08-19T00:00:00Z,2011,SE monsoon
5173,Female,Adult,14.9,24.4,1,2011-08-30T00:00:00Z,2011,SE monsoon
5291,Male,Adult,16.7,26.5,1,2011-08-30T00:00:00Z,2011,SE monsoon
5514,Female,Adult,14.8,24.1,0,2011-08-31T00:00:00Z,2011,SE monsoon
5610,Female,Juvenile,13.8,23.6,1,2011-08-31T00:00:00Z,2011,SE monsoon
4933,Male,Adult,16.1,26.4,0,2011-09-01T00:00:00Z,2011,SE monsoon
4892,Male,Adult,15.9,25.7,0,2011-09-02T00:00:00Z,2011,SE monsoon
5224,Female,Adult,15.2,23.3,1,2011-09-04T00:00:00Z,2011,SE monsoon
5334,Male,Adult,17.9,26.1,0,2011-09-04T00:00:00Z,2011,SE monsoon
5075,Female,Adult,14.9,23.8,1,2011-09-05T00:00:00Z,2011,SE monsoon
5217,Female,Adult,15.5,24.7,1,2011-09-05T00:00:00Z,2011,SE monsoon
5116,Male,Adult,16.8,26.2,1,2011-09-06T00:00:00Z,2011,SE monsoon
5283,Male,Adult,17.6,24.7,0,2011-09-12T00:00:00Z,2011,SE monsoon
5553,Female,Adult,14.7,23.8,0,2011-09-13T00:00:00Z,2011,SE monsoon
5573,Female,Adult,15.7,24,0,2011-09-13T00:00:00Z,2011,SE monsoon
3462,Female,Adult,15.8,24.5,0,2011-09-14T00:00:00Z,2011,SE monsoon
5320,Female,Adult,14.7,23.7,0,2011-09-17T00:00:00Z,2011,SE monsoon
4890,Male,Adult,16.6,25.3,0,2011-09-18T00:00:00Z,2011,SE monsoon
5497,Male,Adult,15.1,25.4,0,2011-09-23T00:00:00Z,2011,SE monsoon
3451,Female,Adult,14,24.1,0,2011-09-24T00:00:00Z,2011,SE monsoon
4883,Female,Adult,15.7,24.2,0,2011-09-24T00:00:00Z,2011,SE monsoon
5267,Female,Adult,14.7,24.1,0,2011-09-26T00:00:00Z,2011,SE monsoon
5754,Male,Juvenile,15,26.1,1,2011-12-06T00:00:00Z,2012,NW monsoon
5760,Female,Adult,14.5,24.8,1,2011-12-14T00:00:00Z,2012,NW monsoon
4860,Male,Adult,15.5,26.9,1,2012-01-28T00:00:00Z,2012,NW monsoon
4954,Male,Adult,17.5,27.2,0,2012-02-02T00:00:00Z,2012,NW monsoon
3606,Female,Adult,14.5,26,0,2012-02-03T00:00:00Z,2012,NW monsoon
5164,Female,Adult,14,24.8,1,2012-02-06T00:00:00Z,2012,NW monsoon
3594,Female,Adult,16,26.3,0,2012-02-08T00:00:00Z,2012,NW monsoon
5319,Female,Adult,14.5,24.6,1,2012-02-08T00:00:00Z,2012,NW monsoon
3490,Female,Adult,13.5,26.3,1,2012-02-09T00:00:00Z,2012,NW monsoon
4941,Female,Adult,15,25,1,2012-02-09T00:00:00Z,2012,NW monsoon
4890,Male,Adult,16.1,25.1,0,2012-06-06T00:00:00Z,2012,SE monsoon
5275,Male,Adult,16.5,24.2,0,2012-06-06T00:00:00Z,2012,SE monsoon
5072,Male,Adult,15.9,25.5,1,2012-06-08T00:00:00Z,2012,SE monsoon
5195,Female,Adult,14.9,23.3,1,2012-06-09T00:00:00Z,2012,SE monsoon
5450,Female,Adult,14.3,24.7,0,2012-06-09T00:00:00Z,2012,SE monsoon
5235,Male,Adult,15.7,24.7,0,2012-06-11T00:00:00Z,2012,SE monsoon
5267,Female,Adult,14.5,24.6,0,2012-06-16T00:00:00Z,2012,SE monsoon
4883,Female,Adult,14.8,23.2,0,2012-06-21T00:00:00Z,2012,SE monsoon
5123,Female,Adult,14.8,24.4,0,2012-06-27T00:00:00Z,2012,SE monsoon
5456,Male,Adult,17,25,0,2012-06-28T00:00:00Z,2012,SE monsoon
3608,Female,Adult,14.9,24.3,0,2012-06-29T00:00:00Z,2012,SE monsoon
5237,Male,Adult,16.2,26.4,0,2012-06-29T00:00:00Z,2012,SE monsoon
5009,Female,Adult,14.7,24.8,1,2012-07-03T00:00:00Z,2012,SE monsoon
5337,Female,Adult,14.2,24,0,2012-07-03T00:00:00Z,2012,SE monsoon
5275,Male,Adult,16.3,26.6,0,2012-07-06T00:00:00Z,2012,SE monsoon
5283,Male,Adult,16.4,25.7,0,2012-07-06T00:00:00Z,2012,SE monsoon
4861,Female,Adult,15.4,24.1,1,2012-07-07T00:00:00Z,2012,SE monsoon
5338,Male,Adult,15.2,25.3,0,2012-07-07T00:00:00Z,2012,SE monsoon
5334,Male,Adult,16,26.5,0,2012-07-14T00:00:00Z,2012,SE monsoon
5170,Male,Adult,16.7,26.4,0,2012-07-15T00:00:00Z,2012,SE monsoon
5267,Female,Adult,15.7,24.1,1,2012-09-09T00:00:00Z,2012,SE monsoon
5249,Male,Adult,18,24.9,1,2012-09-15T00:00:00Z,2012,SE monsoon
4904,Female,Adult,15.9,24.9,1,2012-09-16T00:00:00Z,2012,SE monsoon
5173,Female,Adult,13.5,24.3,0,2012-09-17T00:00:00Z,2012,SE monsoon
4892,Male,Adult,17.9,25.6,1,2012-09-18T00:00:00Z,2012,SE monsoon
5235,Male,Adult,16.8,24.8,0,2012-09-18T00:00:00Z,2012,SE monsoon
5195,Female,Adult,14,23.5,1,2012-09-19T00:00:00Z,2012,SE monsoon
4896,Female,Adult,16,24.5,1,2012-09-23T00:00:00Z,2012,SE monsoon
5283,Male,Adult,17.5,25,0,2012-09-24T00:00:00Z,2012,SE monsoon
4861,Female,Adult,15.8,24.3,1,2012-09-25T00:00:00Z,2012,SE monsoon
4885,Female,Adult,15.5,24.6,1,2012-09-25T00:00:00Z,2012,SE monsoon
5291,Male,Adult,16.5,26.1,0,2013-02-05T00:00:00Z,2013,NW monsoon
5000,Male,Adult,16.5,25.5,0,2013-02-08T00:00:00Z,2013,NW monsoon
4965,Female,Adult,18,24.4,0,2013-07-04T00:00:00Z,2013,SE monsoon
4883,Female,Adult,17.5,23.6,0,2013-07-11T00:00:00Z,2013,SE monsoon
4885,Female,Adult,16,24.8,0,2013-07-13T00:00:00Z,2013,SE monsoon
5000,Male,Adult,16,25.8,0,2013-07-14T00:00:00Z,2013,SE monsoon
5338,Male,Adult,15.5,25.4,0,2013-07-14T00:00:00Z,2013,SE monsoon
4957,Male,Adult,16,24.9,0,2013-07-16T00:00:00Z,2013,SE monsoon
5447,Male,Adult,15,25.1,0,2013-07-18T00:00:00Z,2013,SE monsoon
5162,Female,Adult,13,24.1,0,2013-07-28T00:00:00Z,2013,SE monsoon
5334,Male,Adult,19,24.6,0,2013-07-31T00:00:00Z,2013,SE monsoon
5453,Male,Adult,15.5,25.3,0,2013-07-31T00:00:00Z,2013,SE monsoon
5235,Male,Adult,15,24.8,1,2013-08-01T00:00:00Z,2013,SE monsoon
5249,Male,Adult,15,25.6,1,2013-08-11T00:00:00Z,2013,SE monsoon
5514,Female,Adult,14,24.6,0,2013-08-14T00:00:00Z,2013,SE monsoon
5267,Female,Adult,14,24.4,0,2013-08-17T00:00:00Z,2013,SE monsoon
5292,Male,Adult,17,23.8,1,2013-08-24T00:00:00Z,2013,SE monsoon
5321,Male,Adult,16.5,25.2,1,2013-09-02T00:00:00Z,2013,SE monsoon
5217,Female,Adult,15.8,22.7,0,2013-09-05T00:00:00Z,2013,SE monsoon
4999,Female,Adult,16.6,23.5,0,2013-09-16T00:00:00Z,2013,SE monsoon
5173,Female,Adult,15.4,24.4,1,2013-09-19T00:00:00Z,2013,SE monsoon
5291,Male,Adult,16.6,26.5,0,2013-09-19T00:00:00Z,2013,SE monsoon
5173,Female,Adult,13.7,24.6,0,2014-02-01T00:00:00Z,2014,NW monsoon
5453,Male,Adult,15.8,25.6,0,2014-07-03T00:00:00Z,2014,SE monsoon
5292,Male,Adult,16.2,25.5,1,2014-07-04T00:00:00Z,2014,SE monsoon
5128,Female,Adult,16,23.9,1,2014-07-09T00:00:00Z,2014,SE monsoon
5450,Female,Adult,15.5,25,0,2014-07-10T00:00:00Z,2014,SE monsoon
5319,Female,Adult,15.1,24.1,0,2014-07-30T00:00:00Z,2014,SE monsoon
5291,Male,Adult,16.5,26.2,0,2014-08-07T00:00:00Z,2014,SE monsoon
5195,Female,Adult,14.2,24.1,0,2014-08-21T00:00:00Z,2014,SE monsoon
5453,Male,Adult,14.4,25.9,0,2014-09-11T00:00:00Z,2014,SE monsoon
5195,Female,Adult,14.7,23.9,0,2014-09-17T00:00:00Z,2014,SE monsoon
5292,Male,Adult,17.7,25.7,0,2014-09-23T00:00:00Z,2014,SE monsoon
