Bird identity,"Sex 1=male, 0=female",Ageclass,BodyMass g,RightTarsus length,MalariaConsensus 1=yes,year sampled,year,wet/dry season
1286,1,J,15.6,25.9,1,1998-09-20T00:00:00Z,98,SE monsoon
1406,0,CH,13.6,22.4,0,1998-09-20T00:00:00Z,98,SE monsoon
1407,1,CH,13.2,21.0,0,1998-09-20T00:00:00Z,98,SE monsoon
1411,0,CH,14.4,23.7,0,1998-09-20T00:00:00Z,98,SE monsoon
1412,1,J,15.9,27.2,1,1998-09-20T00:00:00Z,98,SE monsoon
1416,1,J,15.8,26.9,0,1998-09-26T00:00:00Z,98,SE monsoon
1394,1,J,14.7,25.7,1,1999-01-18T00:00:00Z,99,NW monsoon
1429,0,CH,9.4,18.9,0,1999-01-21T00:00:00Z,99,NW monsoon
1430,1,A,15.1,26.5,1,1999-01-24T00:00:00Z,99,NW monsoon
1432,0,SA,15.3,24.3,0,1999-01-28T00:00:00Z,99,NW monsoon
1433,1,CH,15.2,25.5,0,1999-04-10T00:00:00Z,99,NW monsoon
1418,0,CH,14.1,24.7,0,1999-04-12T00:00:00Z,99,NW monsoon
1419,0,CH,13.5,23.7,0,1999-04-12T00:00:00Z,99,NW monsoon
1420,1,FL,11.9,26.3,1,1999-04-15T00:00:00Z,99,NW monsoon
1421,0,FL,12.6,23.8,1,1999-04-17T00:00:00Z,99,NW monsoon
1422,0,FL,12.4,24.0,1,1999-04-19T00:00:00Z,99,NW monsoon
1423,0,CH,12.4,22.4,0,1999-04-20T00:00:00Z,99,NW monsoon
1424,1,FL,13.0,26.3,1,1999-04-20T00:00:00Z,99,NW monsoon
1425,1,FL,14.7,25.9,1,1999-04-28T00:00:00Z,99,NW monsoon
1427,1,FL,14.5,25.4,1,1999-04-30T00:00:00Z,99,NW monsoon
1434,0,FL,13.6,23.2,1,1999-05-01T00:00:00Z,99,NW monsoon
1435,1,CH,16.9,26.2,0,1999-07-04T00:00:00Z,99,SE monsoon
1437,0,SA,15.9,24.3,0,1999-07-06T00:00:00Z,99,SE monsoon
1439,0,FL,14.2,24.1,1,1999-07-13T00:00:00Z,99,SE monsoon
1485,1,A,17.3,26.6,0,1999-07-26T00:00:00Z,99,SE monsoon
1504,1,FL,15.6,28.0,1,1999-07-30T00:00:00Z,99,SE monsoon
1440,1,CH,17.4,26.0,0,1999-08-03T00:00:00Z,99,SE monsoon
1487,0,CH,15.9,23.9,0,1999-08-04T00:00:00Z,99,SE monsoon
1488,1,CH,17.3,25.3,0,1999-08-04T00:00:00Z,99,SE monsoon
1490,0,SA,15.8,25.2,1,1999-08-05T00:00:00Z,99,SE monsoon
1491,0,CH,17.1,24.5,0,1999-08-06T00:00:00Z,99,SE monsoon
1492,1,J,16.5,26.7,1,1999-08-07T00:00:00Z,99,SE monsoon
1493,1,CH,17.8,26.5,0,1999-08-10T00:00:00Z,99,SE monsoon
1486,1,CH,16.0,25.6,0,1999-08-11T00:00:00Z,99,SE monsoon
1494,1,CH,14.5,23.5,0,1999-08-11T00:00:00Z,99,SE monsoon
1496,1,CH,16.6,26.1,0,1999-08-14T00:00:00Z,99,SE monsoon
1497,1,J,15.6,25.5,0,1999-08-14T00:00:00Z,99,SE monsoon
1498,1,CH,16.4,25.6,0,1999-08-15T00:00:00Z,99,SE monsoon
1507,0,J,14.4,24.4,1,1999-08-18T00:00:00Z,99,SE monsoon
1509,1,J,15.9,26.4,0,1999-08-18T00:00:00Z,99,SE monsoon
1510,0,FL,14.0,24.3,1,1999-08-19T00:00:00Z,99,SE monsoon
1511,0,J,14.6,23.7,1,1999-08-19T00:00:00Z,99,SE monsoon
1506,0,CH,16.0,24.5,0,1999-08-21T00:00:00Z,99,SE monsoon
1514,1,FL,16.3,25.9,1,1999-08-22T00:00:00Z,99,SE monsoon
1515,1,J,15.8,26.2,1,1999-08-22T00:00:00Z,99,SE monsoon
1517,0,A,14.8,23.9,1,1999-08-29T00:00:00Z,99,SE monsoon
1516,0,CH,16.3,23.9,0,1999-09-01T00:00:00Z,99,SE monsoon
1518,0,J,14.9,23.4,1,1999-09-01T00:00:00Z,99,SE monsoon
1503,0,SA,15.8,25.2,1,1999-09-02T00:00:00Z,99,SE monsoon
1505,1,CH,17.6,26.8,0,1999-09-05T00:00:00Z,99,SE monsoon
1535,1,J,15.8,27.0,0,1999-09-05T00:00:00Z,99,SE monsoon
1522,1,CH,16.8,25.0,0,1999-09-10T00:00:00Z,99,SE monsoon
1523,1,OFL,17.4,26.8,1,1999-09-11T00:00:00Z,99,SE monsoon
1524,1,CH,12.6,22.1,0,1999-09-13T00:00:00Z,99,SE monsoon
1533,1,CH,16.5,26.2,0,1999-09-13T00:00:00Z,99,SE monsoon
1525,0,CH,15.3,25.0,0,1999-09-15T00:00:00Z,99,SE monsoon
1526,1,CH,15.3,25.8,0,1999-09-15T00:00:00Z,99,SE monsoon
1527,0,CH,15.8,24.8,0,1999-09-19T00:00:00Z,99,SE monsoon
1528,0,CH,15.0,24.4,0,1999-09-19T00:00:00Z,99,SE monsoon
1529,1,CH,18.5,26.1,0,1999-09-22T00:00:00Z,99,SE monsoon
1536,0,CH,15.5,24.0,0,1999-09-22T00:00:00Z,99,SE monsoon
1537,0,CH,11.5,20.0,0,1999-09-26T00:00:00Z,99,SE monsoon
1544,0,OFL,13.8,23.7,1,1999-11-20T00:00:00Z,99,NW monsoon
1545,1,OFL,14.6,25.1,1,1999-11-20T00:00:00Z,99,NW monsoon
1538,0,OFL,14.9,25.3,1,1999-11-21T00:00:00Z,99,NW monsoon
1547,0,J,14.2,24.1,0,1999-11-21T00:00:00Z,99,NW monsoon
1549,1,FL,10.4,26.3,1,1999-11-21T00:00:00Z,99,NW monsoon
1540,1,FL,14.3,26.2,1,1999-11-22T00:00:00Z,99,NW monsoon
1541,0,FL,12.1,24.5,1,1999-11-22T00:00:00Z,99,NW monsoon
1542,1,FL,16.1,25.8,1,1999-11-22T00:00:00Z,99,NW monsoon
1550,0,FL,14.8,24.4,1,1999-11-22T00:00:00Z,99,NW monsoon
1551,1,OFL,15.4,25.5,1,1999-11-22T00:00:00Z,99,NW monsoon
1552,0,FL,13.7,24.2,1,1999-12-01T00:00:00Z,99,NW monsoon
1553,1,FL,14.8,26.1,0,1999-12-01T00:00:00Z,99,NW monsoon
1554,1,OFL,15.2,26.6,1,1999-12-01T00:00:00Z,99,NW monsoon
1500,1,SA,14.5,25.1,0,1999-12-02T00:00:00Z,99,NW monsoon
1543,1,SA,14.9,25.3,1,1999-12-02T00:00:00Z,99,NW monsoon
1555,0,OFL,12.7,24.0,1,1999-12-02T00:00:00Z,99,NW monsoon
